Date,Time,Temp,Condition,Wind,Direction,Humidity,Barometer,Visibility
19/12/2020,01:00,23 °C,Passing clouds.,No wind,↑,79%,1014 mbar,10 km
19/12/2020,04:00,21 °C,Passing clouds.,No wind,↑,83%,1014 mbar,10 km
19/12/2020,07:00,21 °C,Overcast.,No wind,↑,84%,1015 mbar,10 km
19/12/2020,10:00,23 °C,Fog.,No wind,↑,72%,1017 mbar,8 km
19/12/2020,13:00,28 °C,Passing clouds.,6 km/h,↑,54%,1014 mbar,10 km
19/12/2020,16:00,30 °C,Passing clouds.,No wind,↑,50%,1011 mbar,10 km
19/12/2020,19:00,26 °C,Passing clouds.,No wind,↑,65%,1013 mbar,10 km
19/12/2020,22:00,23 °C,Overcast.,No wind,↑,75%,1016 mbar,10 km
20/12/2020,01:00,21 °C,Passing clouds.,No wind,↑,82%,1016 mbar,10 km
20/12/2020,04:00,20 °C,Clear.,No wind,↑,87%,1016 mbar,10 km
20/12/2020,07:00,18 °C,Passing clouds.,No wind,↑,92%,1018 mbar,10 km
20/12/2020,10:00,24 °C,Fog.,No wind,↑,69%,1018 mbar,9 km
20/12/2020,13:00,26 °C,Overcast.,No wind,↑,59%,1016 mbar,9 km
20/12/2020,16:00,26 °C,Scattered clouds.,4 km/h,↑,52%,1013 mbar,10 km
20/12/2020,19:00,23 °C,Passing clouds.,No wind,↑,69%,1016 mbar,10 km
20/12/2020,22:00,21 °C,Overcast.,No wind,↑,78%,1018 mbar,10 km
21/12/2020,01:00,21 °C,Passing clouds.,6 km/h,↑,66%,1017 mbar,10 km
21/12/2020,04:00,20 °C,Clear.,9 km/h,↑,65%,1016 mbar,10 km
21/12/2020,07:00,19 °C,Passing clouds.,7 km/h,↑,65%,1018 mbar,10 km
21/12/2020,10:00,22 °C,Scattered clouds.,7 km/h,↑,51%,1019 mbar,11 km
21/12/2020,13:00,25 °C,Scattered clouds.,6 km/h,↑,44%,1016 mbar,11 km
21/12/2020,16:00,25 °C,Overcast.,4 km/h,↑,47%,1014 mbar,11 km
21/12/2020,19:00,22 °C,Overcast.,6 km/h,↑,53%,1016 mbar,11 km
21/12/2020,22:00,21 °C,Overcast.,7 km/h,↑,56%,1018 mbar,11 km
22/12/2020,01:00,19 °C,Clear.,9 km/h,↑,61%,1017 mbar,10 km
22/12/2020,04:00,18 °C,Clear.,6 km/h,↑,63%,1017 mbar,10 km
22/12/2020,07:00,15 °C,Scattered clouds.,4 km/h,↑,82%,1019 mbar,10 km
22/12/2020,10:00,20 °C,Scattered clouds.,6 km/h,↑,53%,1020 mbar,10 km
22/12/2020,13:00,24 °C,Partly sunny.,4 km/h,↑,42%,1015 mbar,10 km
22/12/2020,16:00,25 °C,Partly sunny.,4 km/h,↑,43%,1012 mbar,10 km
22/12/2020,19:00,20 °C,Passing clouds.,No wind,↑,67%,1013 mbar,10 km
22/12/2020,22:00,17 °C,Passing clouds.,No wind,↑,80%,1015 mbar,10 km
23/12/2020,01:00,15 °C,Passing clouds.,No wind,↑,85%,1016 mbar,10 km
23/12/2020,04:00,14 °C,Passing clouds.,No wind,↑,88%,1015 mbar,10 km
23/12/2020,07:00,13 °C,Passing clouds.,No wind,↑,92%,1017 mbar,10 km
23/12/2020,10:00,20 °C,Passing clouds.,No wind,↑,65%,1018 mbar,10 km
23/12/2020,13:00,26 °C,Passing clouds.,4 km/h,↑,40%,1013 mbar,10 km
23/12/2020,16:00,27 °C,Passing clouds.,No wind,↑,37%,1010 mbar,10 km
23/12/2020,19:00,22 °C,Clear.,No wind,↑,66%,1011 mbar,10 km
23/12/2020,22:00,18 °C,Clear.,No wind,↑,76%,1014 mbar,10 km
24/12/2020,01:00,16 °C,Clear.,No wind,↑,83%,1014 mbar,10 km
24/12/2020,04:00,14 °C,Clear.,No wind,↑,88%,1014 mbar,10 km
24/12/2020,07:00,14 °C,Passing clouds.,No wind,↑,93%,1016 mbar,10 km
24/12/2020,10:00,21 °C,Passing clouds.,4 km/h,↑,58%,1017 mbar,10 km
24/12/2020,13:00,27 °C,Passing clouds.,4 km/h,↑,41%,1012 mbar,10 km
24/12/2020,16:00,28 °C,Sunny.,4 km/h,↑,33%,1009 mbar,10 km
24/12/2020,19:00,23 °C,Clear.,No wind,↑,64%,1011 mbar,10 km
24/12/2020,22:00,19 °C,Clear.,No wind,↑,77%,1014 mbar,10 km
25/12/2020,01:00,16 °C,Clear.,No wind,↑,85%,1014 mbar,10 km
25/12/2020,04:00,15 °C,Clear.,No wind,↑,90%,1014 mbar,10 km
25/12/2020,07:00,14 °C,Sunny.,No wind,↑,91%,1016 mbar,10 km
25/12/2020,10:00,21 °C,Sunny.,4 km/h,↑,64%,1017 mbar,10 km
25/12/2020,13:00,28 °C,Sunny.,4 km/h,↑,43%,1012 mbar,10 km
25/12/2020,16:00,30 °C,Sunny.,4 km/h,↑,42%,1009 mbar,10 km
25/12/2020,19:00,25 °C,Clear.,No wind,↑,62%,1011 mbar,10 km
25/12/2020,22:00,21 °C,Clear.,No wind,↑,73%,1014 mbar,10 km
26/12/2020,01:00,19 °C,Clear.,No wind,↑,84%,1014 mbar,10 km
26/12/2020,04:00,19 °C,Overcast.,No wind,↑,81%,1013 mbar,10 km
26/12/2020,07:00,18 °C,Scattered clouds.,No wind,↑,88%,1014 mbar,10 km
26/12/2020,10:00,25 °C,Passing clouds.,4 km/h,↑,60%,1015 mbar,10 km
26/12/2020,13:00,30 °C,Scattered clouds.,4 km/h,↑,47%,1011 mbar,9 km
26/12/2020,16:00,31 °C,Haze.,4 km/h,↑,47%,1008 mbar,9 km
26/12/2020,19:00,27 °C,Fog.,No wind,↑,66%,1010 mbar,9 km
26/12/2020,22:00,24 °C,Fog.,No wind,↑,75%,1012 mbar,9 km
27/12/2020,01:00,22 °C,Fog.,No wind,↑,86%,1012 mbar,9 km
27/12/2020,04:00,20 °C,Fog.,No wind,↑,89%,1011 mbar,9 km
27/12/2020,07:00,19 °C,Fog.,No wind,↑,91%,1013 mbar,9 km
27/12/2020,10:00,26 °C,Haze.,4 km/h,↑,63%,1014 mbar,9 km
27/12/2020,13:00,31 °C,Haze.,4 km/h,↑,52%,1010 mbar,9 km
27/12/2020,16:00,32 °C,Haze.,4 km/h,↑,43%,1007 mbar,9 km
27/12/2020,19:00,27 °C,Fog.,No wind,↑,68%,1008 mbar,9 km
27/12/2020,22:00,24 °C,Fog.,No wind,↑,77%,1011 mbar,9 km
28/12/2020,01:00,22 °C,Fog.,No wind,↑,84%,1011 mbar,9 km
28/12/2020,04:00,20 °C,Fog.,No wind,↑,85%,1010 mbar,9 km
28/12/2020,07:00,19 °C,Fog.,No wind,↑,87%,1012 mbar,9 km
28/12/2020,10:00,26 °C,Sunny.,4 km/h,↑,57%,1013 mbar,10 km
28/12/2020,13:00,30 °C,Passing clouds.,4 km/h,↑,48%,1010 mbar,10 km
28/12/2020,16:00,32 °C,Passing clouds.,No wind,↑,40%,1007 mbar,10 km
28/12/2020,19:00,27 °C,Clear.,No wind,↑,59%,1008 mbar,10 km
28/12/2020,22:00,23 °C,Clear.,No wind,↑,76%,1011 mbar,10 km
29/12/2020,01:00,20 °C,Clear.,No wind,↑,83%,1012 mbar,10 km
29/12/2020,04:00,17 °C,Clear.,No wind,↑,86%,1011 mbar,10 km
29/12/2020,07:00,16 °C,Passing clouds.,No wind,↑,90%,1014 mbar,10 km
29/12/2020,10:00,25 °C,Sunny.,6 km/h,↑,51%,1014 mbar,10 km
29/12/2020,13:00,30 °C,Sunny.,4 km/h,↑,39%,1011 mbar,10 km
29/12/2020,16:00,31 °C,Passing clouds.,No wind,↑,31%,1008 mbar,10 km
29/12/2020,19:00,25 °C,Clear.,No wind,↑,58%,1010 mbar,10 km
29/12/2020,22:00,21 °C,Clear.,No wind,↑,72%,1012 mbar,10 km
30/12/2020,01:00,18 °C,Passing clouds.,No wind,↑,78%,1013 mbar,10 km
30/12/2020,04:00,16 °C,Passing clouds.,No wind,↑,86%,1013 mbar,10 km
30/12/2020,07:00,15 °C,Passing clouds.,No wind,↑,89%,1015 mbar,10 km
30/12/2020,10:00,22 °C,Passing clouds.,No wind,↑,59%,1017 mbar,10 km
30/12/2020,13:00,30 °C,Passing clouds.,7 km/h,↑,35%,1013 mbar,10 km
30/12/2020,16:00,31 °C,Passing clouds.,4 km/h,↑,35%,1010 mbar,10 km
30/12/2020,19:00,26 °C,Clear.,No wind,↑,60%,1012 mbar,10 km
30/12/2020,22:00,23 °C,Passing clouds.,4 km/h,↑,67%,1014 mbar,10 km
31/12/2020,01:00,22 °C,Overcast.,No wind,↑,70%,1014 mbar,10 km
31/12/2020,04:00,20 °C,Passing clouds.,No wind,↑,83%,1014 mbar,10 km
31/12/2020,07:00,18 °C,Partly sunny.,No wind,↑,87%,1017 mbar,10 km
31/12/2020,10:00,26 °C,Passing clouds.,No wind,↑,59%,1018 mbar,10 km
31/12/2020,13:00,28 °C,Passing clouds.,4 km/h,↑,51%,1015 mbar,10 km
31/12/2020,16:00,28 °C,Scattered clouds.,4 km/h,↑,46%,1012 mbar,10 km
31/12/2020,19:00,26 °C,Overcast.,No wind,↑,55%,1014 mbar,10 km
31/12/2020,22:00,24 °C,Overcast.,No wind,↑,61%,1016 mbar,10 km
1/1/21,01:00,23 °C,Overcast.,No wind,↑,64%,1017 mbar,10 km
1/1/21,04:00,22 °C,Overcast.,No wind,↑,66%,1016 mbar,10 km
1/1/21,07:00,21 °C,Overcast.,4 km/h,↑,65%,1017 mbar,10 km
1/1/21,10:00,23 °C,Overcast.,6 km/h,↑,59%,1019 mbar,10 km
1/1/21,13:00,26 °C,Partly sunny.,6 km/h,↑,52%,1016 mbar,10 km
1/1/21,16:00,26 °C,Partly sunny.,No wind,↑,46%,1013 mbar,10 km
1/1/21,19:00,23 °C,Passing clouds.,No wind,↑,61%,1015 mbar,10 km
1/1/21,22:00,22 °C,Passing clouds.,No wind,↑,69%,1016 mbar,10 km
2/1/21,01:00,19 °C,Passing clouds.,No wind,↑,84%,1017 mbar,10 km
2/1/21,04:00,17 °C,Passing clouds.,No wind,↑,89%,1016 mbar,10 km
2/1/21,07:00,16 °C,Fog.,No wind,↑,92%,1018 mbar,8 km
2/1/21,10:00,22 °C,Fog.,4 km/h,↑,67%,1019 mbar,8 km
2/1/21,13:00,26 °C,Haze.,4 km/h,↑,47%,1016 mbar,9 km
2/1/21,16:00,27 °C,Haze.,4 km/h,↑,46%,1013 mbar,9 km
2/1/21,19:00,23 °C,Fog.,No wind,↑,66%,1013 mbar,9 km
2/1/21,22:00,20 °C,Fog.,No wind,↑,78%,1015 mbar,9 km
3/1/21,01:00,18 °C,Fog.,No wind,↑,88%,1016 mbar,9 km
3/1/21,04:00,16 °C,Fog.,No wind,↑,92%,1015 mbar,9 km
3/1/21,07:00,15 °C,Fog.,No wind,↑,91%,1017 mbar,8 km
3/1/21,10:00,21 °C,Fog.,6 km/h,↑,67%,1018 mbar,8 km
3/1/21,13:00,27 °C,Sunny.,6 km/h,↑,48%,1014 mbar,8 km
3/1/21,16:00,29 °C,Haze.,No wind,↑,45%,1011 mbar,9 km
3/1/21,19:00,24 °C,Fog.,No wind,↑,68%,1012 mbar,9 km
3/1/21,22:00,20 °C,Fog.,No wind,↑,80%,1015 mbar,9 km
4/1/21,01:00,18 °C,Fog.,No wind,↑,86%,1015 mbar,9 km
4/1/21,04:00,17 °C,Fog.,No wind,↑,90%,1015 mbar,9 km
4/1/21,07:00,16 °C,Fog.,No wind,↑,93%,1017 mbar,8 km
4/1/21,10:00,22 °C,Fog.,No wind,↑,66%,1018 mbar,8 km
4/1/21,13:00,28 °C,Haze.,4 km/h,↑,46%,1014 mbar,8 km
4/1/21,16:00,29 °C,Haze.,No wind,↑,45%,1012 mbar,8 km
4/1/21,19:00,24 °C,Fog.,No wind,↑,69%,1014 mbar,9 km
4/1/21,22:00,21 °C,Fog.,No wind,↑,80%,1015 mbar,9 km
5/1/21,01:00,18 °C,Fog.,No wind,↑,86%,1015 mbar,9 km
5/1/21,04:00,17 °C,Fog.,No wind,↑,91%,1015 mbar,9 km
5/1/21,07:00,16 °C,Fog.,No wind,↑,93%,1017 mbar,8 km
5/1/21,10:00,23 °C,Sunny.,4 km/h,↑,63%,1017 mbar,9 km
5/1/21,13:00,28 °C,Sunny.,4 km/h,↑,53%,1014 mbar,9 km
5/1/21,16:00,31 °C,Sunny.,4 km/h,↑,36%,1011 mbar,9 km
5/1/21,19:00,25 °C,Clear.,No wind,↑,62%,1013 mbar,9 km
5/1/21,22:00,20 °C,Fog.,No wind,↑,74%,1014 mbar,9 km
6/1/21,01:00,18 °C,Fog.,No wind,↑,82%,1014 mbar,9 km
6/1/21,04:00,17 °C,Fog.,No wind,↑,90%,1014 mbar,9 km
6/1/21,07:00,16 °C,Fog.,No wind,↑,89%,1015 mbar,9 km
6/1/21,10:00,24 °C,Sunny.,No wind,↑,61%,1016 mbar,9 km
6/1/21,13:00,28 °C,Sunny.,6 km/h,↑,51%,1013 mbar,9 km
6/1/21,16:00,31 °C,Sunny.,4 km/h,↑,43%,1008 mbar,9 km
6/1/21,19:00,26 °C,Fog.,No wind,↑,67%,1010 mbar,9 km
6/1/21,22:00,22 °C,Fog.,No wind,↑,75%,1011 mbar,9 km
